query_name,data_name,ngraphs,tokens,n_patterns,n_graphs,n_total_objects,loading_time,indexing_time,materialise_time_collection,materialise_time_final,query_collect_node_match,query_collect_edge_match,generate_nested_morphisms,run_transform
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,18,9,149,0,21.4488,4.58824,5.51079,2.03145,0.100416,0.339392,32.0101,16.4827
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,18,9,149,0,20.8912,4.66892,5.37241,1.97621,0.097401,0.338592,31.6811,16.8654
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,18,9,149,0,20.8314,4.70694,5.31881,1.93471,0.099618,0.338707,31.8857,16.645
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,18,9,149,0,20.9533,4.57216,5.32879,1.98202,0.09708,0.326553,31.5192,16.3635
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,18,9,149,0,20.7547,4.68453,5.42201,1.98795,0.104088,0.340966,32.0327,16.5393
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,18,9,149,0,20.9185,4.58908,5.41216,1.94504,0.097996,0.331219,31.7367,16.4787
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,18,9,149,0,20.8374,4.70711,5.3963,1.99811,0.098875,0.334156,32.1099,16.7206
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,18,9,149,0,21.5211,5.03092,5.44427,2.06535,0.100586,0.353649,32.8289,16.8328
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,18,9,149,0,21.0489,4.84269,5.4165,2.05989,0.103004,0.389077,32.5506,16.6796
data/test/einstein/einstein_query.txt,/home/giacomo/Scrivania/wonder_words/graphs/commonsenseqatrain,150,18,9,149,0,21.2884,4.82277,5.63107,2.17412,0.116218,0.386744,33.3495,17.1329
